no_year,BedroomAbvGr,BsmtFullBath,SaleCondition,KitchenAbvGr,SalePrice
104,3,0,Normal,1,135000
19,0,1,Normal,1,286000
88,3,0,Normal,1,315000
48,4,1,Normal,1,184000
21,3,1,Normal,1,192000
16,3,0,Normal,1,130000
48,3,0,Normal,1,127000
44,3,0,Normal,1,148500
102,4,1,Abnorml,1,235000
108,5,0,Abnorml,1,104000
16,3,1,Normal,1,274900
17,2,0,Normal,1,140000
43,3,0,Normal,1,171500
96,2,0,Normal,1,112000
16,1,1,Normal,1,149000
73,2,0,Normal,1,110000
30,3,0,Normal,1,180500
58,3,0,Normal,1,143900
60,3,1,Normal,1,141000
32,3,1,Normal,1,277000
56,3,1,Normal,1,145000
95,2,1,Normal,1,98000
11,3,0,Normal,1,186000
25,3,0,Normal,1,156000
43,3,0,Normal,1,161750
63,2,0,Normal,1,134450
16,3,1,Normal,1,210000
81,3,0,Normal,1,311500
18,4,0,Normal,1,200000
45,3,1,Normal,1,179900
49,2,0,Abnorml,1,97000
17,3,0,Normal,1,386250
49,3,0,Abnorml,1,112000
25,4,0,Abnorml,1,290000
50,2,0,Normal,1,106000
53,3,0,Normal,1,125000
15,2,0,Normal,1,192500
61,3,1,Normal,1,148000
25,4,1,Normal,1,403000
48,2,0,Normal,1,94500
44,3,1,Normal,1,128200
18,4,1,Normal,1,216500
49,2,0,Normal,1,89500
16,3,0,Normal,1,185500
27,3,0,Normal,1,194500
75,3,0,Normal,1,113000
12,3,1,Normal,1,262500
75,2,0,Normal,1,110500
120,3,0,Normal,1,79000
40,3,0,Normal,1,120000
26,3,1,Normal,1,205000
32,3,0,Normal,1,241500
110,4,0,Normal,2,137000
66,2,0,Normal,1,140000
17,3,0,Normal,1,180000
62,4,0,Normal,1,277000
80,3,0,Normal,1,76500
16,3,0,Normal,1,173000
56,3,0,Normal,1,158000
63,3,1,Normal,1,145000
21,4,0,Normal,1,230000
17,3,0,Normal,1,207500
14,3,1,Abnorml,1,220000
19,3,0,Normal,1,231500
64,2,0,Normal,1,97000
58,3,1,Normal,1,176000
43,3,1,Normal,1,151000
91,3,1,Normal,1,130000
95,2,0,Normal,1,73000
39,3,0,Normal,1,175500
23,3,1,Normal,1,185000
81,4,0,Normal,1,179500
80,2,0,Normal,1,120500
44,3,1,Normal,1,148000
66,2,1,Normal,1,241500
21,4,0,Normal,1,290000
62,3,1,Normal,1,139000
38,2,0,Normal,1,124500
95,3,0,Normal,1,205000
17,3,0,Normal,1,201000
69,2,0,Normal,1,141000
43,4,0,Normal,1,192000
31,3,0,Normal,1,228500
13,2,1,Normal,1,207500
28,2,1,Normal,1,179200
58,3,0,Normal,1,159000
49,3,0,Normal,1,88000
53,3,0,Normal,1,122000
105,3,0,Normal,1,153575
108,6,1,Normal,1,135900
71,3,0,Normal,1,131000
43,3,1,Normal,1,235000
67,3,1,Normal,1,167000
36,3,1,Normal,1,142500
70,4,0,Normal,1,152000
23,3,0,Normal,1,239000
52,3,0,Normal,1,175000
67,2,1,Normal,1,157000
22,4,0,Normal,1,267000
19,3,0,Normal,1,205000
48,3,1,Abnorml,1,149900
140,3,0,Normal,1,295000
16,3,1,Normal,1,305900
30,4,1,Normal,1,225000
100,3,0,Normal,1,89500
80,1,0,Normal,1,82500
17,3,1,Normal,1,360000
27,3,0,Normal,1,165600
72,2,1,Normal,1,132000
81,3,1,Normal,1,119900
55,3,2,Normal,1,375000
95,3,0,Normal,1,178000
16,3,1,Normal,1,188500
40,4,1,Normal,1,260000
14,3,0,Normal,1,270000
27,4,1,Normal,1,260000
40,3,1,Normal,1,187500
16,4,1,Normal,1,354000
34,4,1,Normal,1,301000
65,3,1,Normal,1,126175
53,5,0,Normal,1,242000
79,2,0,Normal,1,87000
27,1,2,Normal,1,324000
60,3,0,Normal,1,145250
104,5,0,Normal,1,214500
100,3,0,Normal,1,78000
56,6,0,Normal,2,119000
62,3,1,Normal,1,139000
17,3,1,Normal,1,284000
16,2,1,Normal,1,207000
22,3,1,Normal,1,192000
55,3,2,Normal,1,228950
15,3,1,Normal,1,377426
18,3,1,Normal,1,214000
36,3,1,Normal,1,202500
62,3,0,Normal,1,155000
18,4,0,Normal,1,202900
70,2,0,Normal,1,82000
71,2,0,Normal,2,87500
15,2,0,Normal,1,266000
44,3,0,Normal,1,85000
81,3,0,Normal,1,140200
60,2,0,Normal,1,151500
60,3,1,Normal,1,157500
17,2,1,Normal,1,154000
34,2,1,Abnorml,1,190000
79,3,0,Normal,1,95000
92,2,0,Normal,1,105900
80,2,0,Normal,1,140000
25,3,1,Normal,1,177500
28,3,1,Normal,1,173000
44,3,1,Normal,1,134000
62,3,0,Abnorml,1,130000
22,3,1,Normal,1,280000
42,2,1,Normal,1,156000
80,3,1,Normal,1,145000
17,4,0,Normal,1,198500
48,2,0,Normal,1,118000
44,3,1,Normal,1,190000
100,3,0,Normal,1,147000
57,3,1,Normal,1,159000
58,3,0,Normal,1,165000
66,2,0,Normal,1,132000
61,3,1,Normal,1,162000
20,3,0,Normal,1,172400
61,4,0,Normal,1,134432
36,2,1,Normal,1,125000
67,3,1,Normal,1,123000
17,4,0,Normal,1,219500
98,1,1,Normal,1,61000
24,2,0,Normal,1,148000
16,4,0,Normal,1,340000
20,3,0,Normal,1,179000
96,3,0,Normal,1,127000
14,3,0,Normal,1,213500
92,2,0,Normal,1,76000
28,3,1,Normal,1,240000
16,2,0,Normal,1,192000
44,3,1,Abnorml,1,125000
21,3,0,Normal,1,191000
120,4,1,Normal,1,119000
19,3,1,Normal,1,215000
61,3,0,Normal,1,106500
79,2,0,Abnorml,1,100000
80,2,0,Normal,1,109000
64,3,1,Normal,1,129000
48,2,0,Normal,1,123000
58,4,0,Normal,1,169500
100,2,0,Abnorml,1,67000
14,2,1,Normal,1,241000
24,1,1,Normal,1,245500
80,2,0,Normal,1,108000
22,4,0,Abnorml,1,258000
25,3,0,Normal,1,168000
44,3,1,Normal,1,150000
84,3,0,Normal,1,115000
105,4,0,Normal,1,177000
62,3,0,Abnorml,1,60000
65,3,1,Normal,1,145000
93,2,0,Normal,1,115000
27,3,0,Normal,1,228000
42,3,0,Normal,1,149500
102,4,1,Normal,1,239000
52,3,1,Normal,1,142000
43,3,0,Normal,1,215000
66,2,0,Normal,1,113000
22,4,1,Normal,1,315000
64,2,1,Normal,1,139000
74,3,0,Normal,1,135000
31,2,1,Normal,1,275000
63,3,0,Normal,1,109008
32,3,1,Normal,1,175000
49,2,0,Abnorml,1,85400
100,4,0,Abnorml,1,79900
49,2,1,Normal,1,122500
23,3,0,Normal,1,181000
48,1,1,Normal,1,81000
24,3,1,Normal,1,212000
100,2,0,Normal,1,116000
94,2,0,Normal,1,119000
107,2,0,Normal,1,90350
100,3,0,Normal,1,110000
12,2,1,Normal,1,555000
65,4,0,Normal,2,118000
90,3,0,Normal,1,162900
26,4,1,Normal,1,210000
64,3,0,Normal,1,127500
54,2,0,Normal,1,190000
22,4,0,Normal,1,199900
83,3,0,Normal,1,119500
72,2,0,Normal,1,120000
90,2,0,Normal,1,110000
45,2,1,Normal,1,280000
24,3,1,Normal,1,204000
12,3,0,Normal,1,210000
47,3,0,Normal,1,175500
104,4,0,Abnorml,1,98000
66,2,1,Normal,1,256000
95,3,0,Normal,1,161000
70,3,1,Normal,1,110000
84,3,1,Normal,1,155000
55,3,0,Normal,1,62383
86,3,0,Normal,1,188700
42,3,0,Normal,1,124000
16,2,0,Normal,1,178740
50,2,1,Normal,1,167000
78,3,0,Normal,1,146500
14,3,0,Normal,1,250000
27,3,0,Normal,1,187000
35,1,1,Normal,1,212000
43,3,0,Normal,1,190000
15,2,1,Normal,1,148000
20,2,1,Normal,1,251000
57,2,1,Normal,1,132500
23,3,1,Normal,1,208900
14,3,0,Normal,1,380000
13,3,1,Normal,1,297000
16,3,1,Normal,1,326000
17,2,1,Normal,1,374000
105,4,1,Normal,1,155000
22,2,1,Normal,1,164000
58,3,1,Normal,1,132500
70,3,0,Normal,1,147000
55,3,1,Normal,1,156000
49,3,0,Normal,1,175000
120,3,0,Normal,2,160000
50,1,1,Normal,1,86000
44,3,0,Normal,1,115000
79,3,1,Normal,1,133000
60,3,0,Normal,1,155000
82,2,0,Normal,1,91300
100,2,0,Abnorml,1,34900
28,4,1,Normal,1,430000
95,4,1,Normal,1,184000
53,3,0,Normal,1,130000
62,2,0,Normal,1,120000
47,3,0,Normal,1,113000
15,3,0,Normal,1,226700
55,2,1,Normal,1,140000
61,1,1,Normal,1,289000
46,3,0,Normal,1,147000
68,4,0,Normal,2,124500
27,3,0,Normal,1,215000
92,3,0,Normal,1,161000
61,3,1,Normal,1,124500
69,2,1,Normal,1,164900
62,3,1,Normal,1,129900
37,3,0,Normal,1,134000
94,2,0,Normal,1,96500
48,3,0,Abnorml,1,158000
24,3,0,Normal,1,265000
22,3,1,Normal,1,211000
94,3,0,Normal,1,234000
120,3,0,Normal,2,106250
63,3,0,Normal,1,150000
73,3,0,Normal,1,159000
24,3,1,Normal,1,315750
15,3,0,Normal,1,176000
64,2,0,Normal,1,132000
100,2,1,Normal,1,86000
32,3,1,Abnorml,1,175000
100,3,0,Normal,1,128000
65,2,0,Normal,1,107500
74,1,0,Normal,1,39300
16,3,0,Normal,1,178000
110,3,1,Normal,1,107500
22,3,0,Normal,1,188000
48,3,0,Normal,1,111250
52,3,0,Normal,1,158000
19,3,1,Normal,1,272000
14,2,1,Normal,1,315000
20,4,0,Normal,1,248000
22,3,1,Normal,1,213250
22,1,1,Normal,1,133000
32,4,0,Normal,1,229000
97,3,0,Normal,1,210000
50,2,1,Normal,1,129500
65,2,1,Normal,1,125000
17,4,0,Normal,1,263000
43,2,0,Abnorml,1,140000
63,3,0,Normal,1,112500
14,3,0,Normal,1,255500
71,2,0,Normal,1,108000
17,3,1,Normal,1,284000
98,2,0,Normal,1,113000
63,2,1,Normal,1,141000
100,3,0,Normal,1,108000
24,3,0,Normal,1,175000
17,2,0,Normal,1,234000
63,3,1,Normal,1,121500
46,2,1,Normal,1,170000
80,3,1,Normal,1,108000
102,4,0,Normal,1,185000
28,4,1,Normal,1,268000
105,4,1,Normal,1,128000
15,4,0,Normal,1,325000
16,3,0,Normal,1,214000
37,1,1,Normal,1,316600
41,2,1,Normal,1,135960
55,6,0,Normal,2,142600
61,2,1,Abnorml,1,120000
20,3,0,Normal,1,170000
49,3,0,Normal,1,139000
73,2,0,Abnorml,1,118500
92,3,0,Normal,1,145000
54,3,1,Abnorml,1,164500
13,2,0,Abnorml,1,146000
66,4,0,Normal,1,131500
60,3,0,Normal,1,181900
30,3,1,Normal,1,118500
127,3,0,Normal,1,325000
85,3,0,Normal,1,133000
102,2,1,Normal,1,130000
38,2,1,Normal,1,137000
90,2,0,Normal,1,79500
16,3,0,Normal,1,185900
12,3,1,Normal,1,451950
38,2,1,Normal,1,138000
17,1,1,Normal,1,140000
45,3,0,Normal,1,110000
110,3,0,Normal,1,114504
43,3,1,Normal,1,217500
40,3,1,Normal,1,151000
15,3,1,Normal,1,275000
83,3,0,Normal,1,141000
28,3,1,Abnorml,1,220000
16,2,0,Normal,1,151000
18,3,1,Normal,1,221000
55,3,0,Normal,1,205000
24,3,1,Normal,1,152000
72,3,1,Normal,1,225000
59,3,1,Normal,1,118500
20,3,1,Normal,1,313000
42,3,0,Normal,1,148000
19,3,1,Normal,1,261500
48,1,1,Normal,1,75500
57,3,1,Abnorml,1,137500
18,3,1,Normal,1,183200
66,2,0,Normal,1,105500
17,4,1,Normal,1,305000
106,2,1,Normal,1,67000
46,4,0,Normal,1,240000
43,3,0,Normal,1,135000
20,2,0,Normal,1,168500
48,4,1,Normal,1,165150
58,3,0,Normal,1,160000
60,3,0,Normal,1,139900
65,3,1,Normal,1,153000
56,3,1,Normal,1,168500
140,3,0,Abnorml,1,124000
14,2,0,Normal,1,209500
66,3,0,Normal,1,139400
40,0,2,Normal,2,144000
106,8,0,Abnorml,2,200000
84,1,0,Normal,1,60000
66,3,0,Normal,2,93000
110,2,0,Normal,1,85000
17,1,0,Normal,1,274000
19,3,1,Normal,1,226000
48,4,1,Normal,1,345000
51,4,0,Normal,1,152000
49,3,1,Normal,1,143250
70,3,0,Normal,1,98300
67,3,0,Normal,1,155000
54,4,0,Normal,1,155000
50,1,1,Normal,1,84500
13,3,0,Normal,1,205950
80,4,1,Normal,1,108000
24,2,0,Normal,1,191000
114,3,0,Normal,1,135000
25,2,1,Normal,1,350000
61,3,1,Normal,1,145500
89,3,0,Normal,1,149000
72,3,0,Abnorml,1,97500
56,3,1,Normal,1,167000
44,3,0,Normal,1,197900
26,4,1,Normal,1,402000
52,2,1,Normal,1,110000
48,3,1,Normal,1,137500
20,3,0,Normal,1,230500
55,3,0,Abnorml,1,129000
26,3,1,Normal,1,193500
64,3,1,Normal,1,168000
98,2,0,Normal,1,137500
15,3,1,Normal,1,173500
95,3,1,Normal,1,103600
43,3,1,Normal,1,165000
63,3,1,Normal,1,257500
55,3,1,Normal,1,140000
42,3,0,Normal,1,148500
120,4,1,Normal,2,87000
96,2,0,Normal,1,109500
59,3,1,Normal,1,128500
40,2,0,Normal,1,143000
88,3,0,Abnorml,1,159434
24,2,1,Normal,1,173000
18,3,1,Normal,1,285000
22,4,0,Normal,1,221000
36,3,1,Normal,1,207500
16,2,0,Normal,1,148800
15,2,0,Normal,1,194700
16,1,1,Normal,1,141000
26,4,0,Normal,1,755000
31,4,1,Normal,1,335000
99,2,0,Abnorml,1,108480
84,3,0,Normal,1,141500
33,2,1,Normal,1,176000
99,2,0,Normal,1,89000
68,2,0,Normal,1,123500
55,3,1,Normal,1,138500
16,2,0,Normal,1,196000
18,3,1,Normal,1,312500
51,3,0,Normal,1,140000
120,4,0,Normal,2,140000
16,3,1,Normal,1,213000
90,3,0,Normal,2,55000
49,2,1,Normal,1,302000
14,2,1,Normal,1,254000
54,3,0,Abnorml,1,109900
85,2,0,Normal,1,52000
120,2,0,Abnorml,1,102776
32,2,1,Normal,1,189000
50,3,1,Normal,1,129000
44,3,0,Normal,1,130500
46,3,0,Normal,1,165000
130,3,0,Normal,1,159500
47,3,0,Normal,1,157000
27,3,1,Normal,1,341000
51,3,0,Normal,1,128500
35,2,1,Normal,1,275000
16,1,1,Normal,1,143000
50,3,0,Normal,1,124500
66,4,0,Normal,1,135000
13,3,1,Normal,1,320000
50,3,0,Normal,1,120500
32,3,1,Normal,1,222000
13,2,1,Normal,1,194500
62,4,1,Abnorml,2,110000
95,2,0,Normal,1,103000
25,2,1,Normal,1,236500
17,3,1,Normal,1,187500
22,3,0,Normal,1,222500
59,3,1,Normal,1,131400
106,2,0,Normal,1,163000
70,2,0,Normal,2,93500
15,3,0,Normal,1,239900
16,3,0,Normal,1,190000
110,2,0,Abnorml,1,132000
59,3,1,Normal,1,142000
20,3,0,Normal,1,179000
57,3,0,Normal,1,175000
27,2,1,Normal,1,180000
44,4,0,Normal,1,299800
20,4,0,Normal,1,236000
140,4,0,Normal,1,265979
24,3,1,Normal,1,260400
75,4,0,Normal,1,98000
110,3,0,Normal,1,96500
17,3,0,Normal,1,162000
23,3,1,Normal,1,217000
15,3,0,Normal,1,275500
51,3,1,Normal,1,156000
21,3,0,Normal,1,172500
13,3,0,Normal,1,212000
42,3,0,Abnorml,1,158900
21,3,0,Normal,1,179400
25,4,0,Normal,1,290000
61,2,0,Normal,1,127500
96,2,0,Normal,1,100000
11,3,0,Normal,1,215200
21,3,1,Normal,1,337000
25,2,1,Normal,1,270000
32,3,0,Normal,1,196500
80,4,1,Normal,1,160000
16,3,0,Normal,1,216837
17,4,1,Normal,1,538000
38,2,1,Normal,1,134900
69,2,0,Normal,1,102000
44,3,1,Abnorml,1,107000
62,2,0,Normal,1,114500
22,2,1,Normal,1,162000
46,3,1,Normal,1,142500
43,4,0,Normal,2,144000
43,2,1,Normal,1,135000
25,3,0,Normal,1,176000
28,3,0,Normal,1,175900
19,3,0,Normal,1,187100
42,1,1,Normal,1,165500
106,3,0,Normal,1,128000
53,3,0,Normal,1,161500
105,4,1,Normal,1,139000
16,4,1,Normal,1,233000
66,2,0,Normal,1,107900
54,5,0,Normal,1,187500
15,2,0,Normal,1,160200
44,3,1,Normal,1,146800
24,3,1,Normal,1,269790
26,3,0,Normal,1,194500
40,3,0,Normal,1,171000
43,3,0,Normal,1,143500
67,2,0,Abnorml,1,110000
83,3,1,Normal,1,175000
23,4,1,Normal,1,200000
104,2,1,Normal,1,109900
15,3,1,Normal,1,189000
53,3,0,Normal,1,135500
97,3,2,Normal,1,223500
54,3,1,Normal,1,159950
122,2,0,Normal,3,106000
46,3,1,Normal,1,181000
16,1,1,Normal,1,144500
62,4,0,Normal,1,157900
102,3,0,Normal,1,116000
22,3,0,Normal,1,224900
66,2,0,Normal,1,137000
18,3,1,Normal,1,271000
49,3,1,Normal,1,155000
17,3,0,Normal,1,183000
67,2,0,Normal,1,93000
80,3,0,Normal,1,139500
96,2,1,Normal,1,109500
19,3,0,Normal,1,189000
53,3,0,Abnorml,1,185000
15,2,0,Normal,1,147400
63,3,1,Normal,1,166000
15,2,0,Normal,1,151000
17,3,1,Normal,1,237000
56,3,0,Normal,1,167000
59,3,1,Normal,1,139950
70,2,0,Normal,1,128000
72,2,1,Normal,1,153500
47,2,1,Normal,1,100000
25,3,0,Normal,1,144000
74,3,0,Normal,1,130500
95,4,0,Normal,1,140000
116,3,0,Normal,1,157500
54,3,1,Normal,1,174900
59,6,0,Normal,2,141000
105,4,0,Normal,1,153900
45,3,1,Normal,1,171000
27,3,1,Normal,1,213000
48,3,1,Normal,1,133500
112,5,0,Normal,1,240000
44,3,0,Normal,1,187000
17,1,1,Normal,1,131500
17,2,0,Normal,1,215000
79,4,0,Normal,1,164000
56,3,0,Normal,1,158000
65,3,1,Abnorml,1,170000
58,3,1,Normal,1,127000
42,3,1,Normal,1,147000
26,3,0,Normal,1,174000
52,4,1,Normal,1,250000
102,3,0,Normal,1,189950
55,3,1,Normal,1,131500
36,3,0,Normal,1,152000
61,3,1,Normal,1,132500
50,3,1,Normal,1,148500
59,3,1,Normal,1,129000
72,2,0,Normal,1,169000
27,3,1,Normal,1,236000
58,2,0,Normal,1,109500
22,3,0,Normal,1,200500
67,3,0,Normal,1,116000
71,3,0,Normal,1,133000
79,3,0,Abnorml,1,66500
57,3,1,Normal,1,132250
16,4,1,Normal,1,350000
59,3,1,Normal,1,148000
42,3,1,Normal,1,136500
15,2,1,Normal,1,157000
30,3,0,Normal,1,187500
28,3,0,Normal,1,178000
108,5,1,Normal,1,118500
53,3,0,Normal,1,100000
21,2,1,Abnorml,1,328900
65,3,0,Normal,1,135500
50,4,1,Normal,1,268000
67,2,1,Normal,1,149500
71,3,0,Normal,1,122900
42,3,0,Normal,1,172500
57,3,0,Normal,1,154500
66,3,1,Normal,1,165000
57,4,1,Normal,1,140000
84,2,0,Abnorml,1,106500
59,3,0,Normal,1,135000
49,2,0,Normal,1,110000
63,2,1,Normal,1,153000
17,3,0,Normal,1,180000
53,3,0,Normal,1,125500
66,3,1,Normal,1,128000
14,3,1,Normal,1,255000
84,3,0,Normal,1,250000
37,2,1,Normal,1,131000
15,3,0,Normal,1,174000
60,5,0,Normal,2,154300
43,3,0,Normal,1,143500
95,3,0,Abnorml,1,88000
71,4,0,Normal,2,145000
50,3,0,Normal,1,75000
71,1,1,Abnorml,1,35311
64,3,0,Normal,1,135000
29,4,1,Normal,1,238000
62,3,1,Normal,1,176500
26,3,0,Normal,1,201000
120,4,2,Normal,2,145900
27,2,1,Normal,1,193000
40,3,1,Normal,1,207500
43,3,0,Abnorml,1,175000
17,4,0,Normal,1,285000
52,4,0,Normal,1,176000
19,3,0,Normal,1,236500
23,4,0,Normal,1,222000
13,3,0,Normal,1,201000
55,2,0,Normal,1,117500
14,3,0,Normal,1,320000
16,3,0,Normal,1,190000
60,4,1,Normal,1,242000
94,1,0,Normal,1,79900
17,2,1,Normal,1,184900
15,3,0,Normal,1,253000
80,4,0,Normal,1,244400
44,4,0,Normal,2,150900
21,3,1,Normal,1,214000
43,4,2,Abnorml,2,150000
53,4,0,Normal,2,143000
62,3,0,Abnorml,1,137500
130,2,0,Normal,1,124900
61,3,1,Normal,1,143000
18,3,1,Normal,1,270000
18,3,0,Normal,1,192500
48,3,1,Normal,1,197500
70,3,1,Normal,1,129000
55,3,1,Abnorml,1,119900
48,2,0,Normal,1,133900
51,4,0,Normal,1,172000
74,4,0,Normal,2,145000
40,2,0,Normal,1,124000
58,3,0,Normal,1,132000
17,3,1,Normal,1,185000
21,3,1,Normal,1,155000
62,2,1,Normal,1,116500
43,4,1,Normal,1,272000
44,3,1,Normal,1,155000
13,2,0,Normal,1,239000
18,4,1,Normal,1,214900
80,2,1,Normal,1,160000
65,3,1,Normal,1,135000
110,2,0,Abnorml,1,37900
62,2,1,Normal,1,140000
71,4,0,Abnorml,1,135000
17,2,0,Normal,1,173000
41,2,0,Normal,1,99500
110,3,0,Normal,1,167500
20,3,1,Normal,1,165000
97,2,0,Normal,1,85500
66,3,0,Abnorml,1,110000
57,3,1,Normal,1,139000
59,3,1,Normal,1,178400
22,4,1,Normal,1,336000
13,2,0,Normal,1,159895
18,4,0,Normal,1,255900
43,4,0,Normal,2,126000
70,3,1,Normal,1,125000
110,2,0,Normal,1,117000
44,4,0,Normal,1,195000
23,3,1,Normal,1,348000
138,4,0,Normal,1,168000
56,3,0,Normal,1,187000
14,3,1,Normal,1,337500
74,3,1,Abnorml,1,121600
59,3,1,Normal,1,136500
50,2,0,Normal,1,185000
98,3,0,Normal,1,91000
14,2,1,Normal,1,206000
68,2,0,Normal,1,82000
100,2,0,Abnorml,1,86000
14,3,0,Normal,1,232000
44,4,0,Normal,2,136905
15,1,0,Normal,1,181000
43,3,0,Normal,1,149900
50,3,0,Normal,1,163500
50,3,0,Normal,1,88000
16,3,0,Normal,1,240000
94,4,0,Normal,1,102000
72,4,0,Normal,1,135000
55,4,0,Normal,2,100000
97,3,0,Normal,1,165000
110,2,1,Normal,1,85000
72,2,0,Normal,1,119200
19,3,1,Normal,1,227000
24,3,1,Normal,1,203000
36,1,1,Abnorml,1,187500
29,3,0,Normal,1,160000
15,2,0,Normal,1,213490
15,2,1,Normal,1,176000
90,2,0,Normal,1,87000
15,2,0,Normal,1,191000
44,2,1,Abnorml,1,287000
48,3,1,Normal,1,112500
60,3,1,Normal,1,167500
79,3,1,Normal,1,105000
48,3,0,Normal,1,118000
104,5,0,Normal,2,160000
100,5,1,Normal,1,197000
27,5,1,Abnorml,1,310000
18,3,1,Normal,1,230000
82,2,0,Normal,1,119750
63,3,0,Normal,1,84000
13,2,1,Normal,1,315500
19,3,0,Normal,1,287000
